  0.10000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.10000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.20000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.20000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.30000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.30000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.40000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.40000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.50000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.50000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.60000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.60000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.70000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.70000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.80000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.80000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.90000000E-02 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.90000000E-02  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.10000000E-01 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.10000000E-01  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.11000000E-01 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.11000000E-01  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.12000000E-01 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.12000000E-01  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.13000000E-01 -0.14920077E+00  0.14920077E+00  0.29840153E+00
  0.13000000E-01  0.14920077E+00 -0.14920077E+00  0.29840153E+00
  0.14000000E-01 -0.14920077E+00  0.14920077E+00  0.29840153E+00
